,Food name,Measure,Weight,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
209,"Alpha-Bits, PostTM",250mL,34.0,139.0,580.0,2.0,30.0,14.0,1.0,0.2,0.0,0.0,0.0,3.0,4.5,126.0,21.0,24.0,74.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
210,"Bran Flakes, PostTM",250mL,53.0,185.0,776.0,5.0,41.0,9.0,1.0,0.2,0.0,0.0,0.0,24.0,7.0,302.0,253.0,121.0,276.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.08,3.5,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
211,"Cap'n Crunch, QuakerTM",175mL,27.0,108.0,452.0,1.0,23.0,10.0,1.0,1.1,0.0,0.0,0.0,0.0,3.6,213.0,30.0,11.0,22.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
212,"Cheerios: Honey Nut, General MillsTM",250mL,35.0,134.0,561.0,3.0,28.0,12.0,1.0,0.0,0.0,0.0,0.0,128.0,4.7,252.0,99.0,38.0,115.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.6,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
213,Cheerios: regular General MillsTM,250mL,24.0,95.0,396.0,3.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,44.0,3.2,219.0,78.0,32.0,105.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.1,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
214,"Cinnamon Toast Crunch, General MillsTM",175mL,28.0,123.0,514.0,1.0,22.0,9.0,3.0,0.0,0.0,0.0,0.0,103.0,3.8,193.0,41.0,12.0,93.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
215,"Corn Bran, QuakerTM",250mL,38.0,124.0,520.0,3.0,30.0,8.0,2.0,0.8,0.0,0.0,0.0,0.0,5.0,349.0,91.0,0.0,42.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.02,1.7,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0
216,"Corn Flakes, Kellogg'sTM",250mL,26.0,103.0,430.0,2.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,190.0,28.0,2.0,12.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.71,1.6,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
217,"Corn Pops, Kellogg'sTM",250mL,33.0,130.0,544.0,1.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,4.4,192.0,26.0,3.0,13.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.01,1.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
218,"Cream of wheat, regular",175mL,186.0,46.0,195.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,0.0,15.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
219,"Fibre 1, General MillsTM",125mL,30.0,79.0,329.0,3.0,24.0,0.0,1.0,0.1,0.0,0.0,0.0,110.0,4.1,130.0,239.0,68.0,188.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,1.4,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0
220,"Froot Loops, Kellogg'sTM",250mL,30.0,116.0,485.0,1.0,26.0,14.0,1.0,0.0,0.0,0.0,0.0,3.0,3.9,121.0,30.0,7.0,31.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,1.7,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
221,"Frosted Flakes, Kellogg'sTM",250mL,37.0,142.0,595.0,2.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9,196.0,28.0,2.0,9.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.67,2.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
222,"Fruit & Fibre, Dates/Raisins/Walnuts, PostTM",125mL,29.0,93.0,389.0,3.0,22.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,3.9,134.0,145.0,55.0,126.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05,1.9,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
223,"Granola with Raisins, low fat, Kellogg'sTM",125mL,59.0,226.0,944.0,5.0,46.0,17.0,3.0,0.0,0.0,0.0,0.0,24.0,7.8,147.0,173.0,47.0,135.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.14,3.7,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
224,"Granola with Raisins, RogersTM",125mL,59.0,245.0,1023.0,5.0,41.0,0.0,8.0,0.0,0.0,0.0,0.0,28.0,1.9,95.0,198.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.06,1.8,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
225,"Grape-Nuts, PostTM",125mL,58.0,208.0,872.0,6.0,46.0,5.0,1.0,0.0,0.0,0.0,0.0,24.0,2.0,348.0,253.0,59.0,241.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,4.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
226,"Harvest Crunch, regular, QuakerTM",125mL,47.0,218.0,911.0,5.0,31.0,12.0,9.0,6.7,0.0,0.0,1.0,51.0,1.1,45.0,226.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,1.5,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
227,"Honeycomb, PostTM",250mL,23.0,92.0,384.0,1.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,3.7,93.0,46.0,7.0,36.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
228,"Just Right, Kellogg'sTM",250mL,45.0,172.0,720.0,4.0,38.0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,250.0,105.0,28.0,93.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,2.9,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
229,"Life, QuakerTM",175mL,33.0,124.0,518.0,5.0,23.0,7.0,2.0,0.3,0.0,0.0,0.0,24.0,4.3,195.0,188.0,10.0,160.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.03,1.5,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
230,"Lucky Charms, General MillsTM",250mL,34.0,132.0,550.0,2.0,28.0,15.0,1.0,0.0,0.0,0.0,0.0,124.0,4.6,227.0,64.0,28.0,87.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.6,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
231,"Mini-Wheats with White Frosting, Kellogg'sTM",175mL,35.0,121.0,505.0,3.0,29.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,4.7,4.0,135.0,31.0,102.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.02,2.3,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
232,"Muesli, President's ChoiceTM",75mL,40.0,144.0,603.0,5.0,28.0,10.0,2.0,0.0,0.0,0.0,0.0,9.0,1.6,24.0,228.0,13.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.4,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
233,"Nesquik, General MillsTM",250mL,30.0,120.0,502.0,1.0,27.0,14.0,1.0,0.0,0.0,0.0,0.0,33.0,4.1,192.0,49.0,8.0,44.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
234,"Oat bran, cooked",175mL,179.0,73.0,306.0,3.0,12.0,0.0,1.0,0.3,0.0,0.0,0.0,17.0,1.3,1.0,120.0,0.0,127.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.9,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0
235,"Oatmeal Crisp Almond, General MillsTM",125mL,32.0,131.0,546.0,3.0,23.0,8.0,3.0,0.0,0.0,0.0,0.0,81.0,4.3,108.0,93.0,34.0,93.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05,1.5,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
236,"Oatmeal Crisp Maple Walnut, General MillsTM",125mL,32.0,133.0,557.0,3.0,25.0,9.0,2.0,0.3,0.0,0.0,0.0,81.0,4.3,142.0,101.0,29.0,81.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05,1.5,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
237,"Oatmeal, instant, apple-cinnamon",1 packet,186.0,141.0,592.0,3.0,29.0,12.0,2.0,0.3,0.0,0.0,0.0,21.0,5.0,256.0,108.0,36.0,88.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,1.4,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
238,"Oatmeal, instant, regular",1 packet,186.0,112.0,468.0,4.0,20.0,1.0,2.0,0.4,0.0,0.0,0.0,21.0,4.0,241.0,112.0,45.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.04,1.5,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
239,"Oatmeal, large flakes/quick",175mL,173.0,99.0,412.0,4.0,17.0,0.0,2.0,0.3,0.0,0.0,0.0,13.0,1.0,1.0,98.0,0.0,111.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.9,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
240,"Puffed Wheat, QuakerTM",250mL,13.0,45.0,188.0,2.0,9.0,0.0,0.0,0.1,0.0,0.0,0.0,9.0,0.5,0.0,60.0,18.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,1.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
241,"Raisin Bran, Kellogg'sTM",250mL,59.0,187.0,782.0,5.0,47.0,17.0,1.0,0.0,0.0,0.0,0.0,22.0,7.9,367.0,334.0,75.0,189.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.08,4.5,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
242,"Red River, Robin HoodTM",175mL,180.0,115.0,482.0,4.0,24.0,0.0,1.0,0.1,0.0,0.0,0.0,15.0,1.3,27.0,0.0,18.0,63.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,1.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
243,"Reese's Puffs, General MillsTM",175mL,30.0,128.0,533.0,2.0,24.0,13.0,3.0,0.6,0.0,0.0,0.0,98.0,4.0,178.0,43.0,2.0,11.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
244,"Rice Krispies, Kellogg'sTM",250mL,29.0,110.0,458.0,2.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.8,315.0,31.0,11.0,41.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.01,1.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
245,"Shredded Wheat, PostTM",1 biscuit,25.0,91.0,379.0,3.0,21.0,0.0,1.0,0.1,0.0,0.0,0.0,9.0,1.5,1.0,92.0,31.0,83.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,2.3,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
246,"Shreddies, PostTM",175mL,38.0,138.0,579.0,4.0,32.0,6.0,1.0,0.0,0.0,0.0,0.0,14.0,5.1,241.0,143.0,38.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.01,2.5,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0
247,"Special K, Kellogg'sTM",250mL,24.0,94.0,392.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,226.0,34.0,13.0,49.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03,1.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
248,"Sugar Crisp, PostTM",250mL,26.0,103.0,432.0,1.0,24.0,14.0,1.0,0.0,0.0,0.0,0.0,3.0,0.3,33.0,1.0,11.0,44.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
249,"Trix, General MillsTM",250mL,30.0,117.0,491.0,1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,98.0,4.0,195.0,16.0,2.0,22.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
250,WeetabixTM,2 biscuits,35.0,130.0,543.0,4.0,29.0,2.0,1.0,0.1,0.0,0.0,0.0,14.0,1.1,126.0,141.0,58.0,144.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.6,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0
251,Cheese crackers,4,4.0,20.0,84.0,0.0,2.0,0.0,1.0,0.4,0.0,0.0,1.0,6.0,0.2,40.0,6.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
252,"Melba toast, plain",2,10.0,39.0,163.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.4,83.0,20.0,6.0,20.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
253,Milk crackers,4,48.0,218.0,913.0,4.0,33.0,8.0,8.0,1.3,0.0,0.0,5.0,83.0,1.7,284.0,55.0,11.0,145.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
254,Rusk toast,1,10.0,41.0,170.0,1.0,7.0,0.0,1.0,0.1,0.0,0.0,0.0,3.0,0.3,25.0,25.0,4.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.7,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
255,"Rye wafers, plain",1,25.0,84.0,349.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.5,199.0,124.0,30.0,84.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.8,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0
256,"Saltine (oyster, soda, soup)",4,12.0,51.0,215.0,1.0,9.0,0.0,1.0,0.2,0.0,0.0,0.0,8.0,0.7,129.0,18.0,3.0,12.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
257,"Saltine (oyster, soda, soup), unsalted top",4,12.0,52.0,218.0,1.0,9.0,0.0,1.0,0.4,0.0,0.0,0.0,14.0,0.6,92.0,15.0,3.0,13.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.9,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
258,Standard-type (snack-type) (RitzTM),4,12.0,60.0,252.0,1.0,7.0,0.0,3.0,0.5,0.0,0.0,0.0,14.0,0.4,102.0,16.0,3.0,27.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
259,"Standard-type, reduced sodium (RitzTM)",4,12.0,60.0,252.0,1.0,7.0,0.0,3.0,0.5,0.0,0.0,0.0,14.0,0.4,45.0,43.0,3.0,27.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
260,Wheat crackers,4,20.0,95.0,396.0,2.0,13.0,1.0,3.0,2.0,0.0,0.0,0.0,10.0,1.0,173.0,60.0,12.0,44.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
261,"Wheat crackers, low fat",4,18.0,79.0,330.0,2.0,12.0,2.0,2.0,1.2,0.0,0.0,0.0,34.0,0.7,112.0,72.0,13.0,52.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
262,Whole-wheat crackers,4,16.0,71.0,296.0,1.0,11.0,0.0,3.0,0.5,0.0,0.0,0.0,8.0,0.5,105.0,48.0,16.0,47.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.1,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
263,"Egg substitute, frozen (yolk replaced), cooked",2 eggs,111.0,226.0,947.0,14.0,4.0,0.0,17.0,2.9,4.6,8.8,2.0,89.0,2.4,291.0,258.0,0.0,88.0,60.0,0.0,0.0,0.0,0.0,1.9,0.35,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
264,"Egg white, cooked",1 large,33.0,16.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,106.0,39.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,"Egg yolk, cooked",1 large,17.0,59.0,249.0,3.0,1.0,0.0,6.0,1.7,2.3,0.8,202.0,22.0,0.7,34.0,17.0,0.0,64.0,106.0,0.0,0.0,0.0,0.0,0.8,0.88,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
266,"Egg, fried",2 large,92.0,173.0,726.0,12.0,2.0,0.0,14.0,3.6,5.8,2.7,367.0,46.0,1.4,322.0,116.0,0.0,127.0,236.0,0.0,0.0,0.0,0.0,1.9,1.62,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
267,"Egg, hard-boiled",1 large,50.0,78.0,324.0,6.0,1.0,0.0,5.0,1.6,2.0,0.7,216.0,25.0,0.6,62.0,63.0,0.0,86.0,85.0,0.0,0.0,0.0,0.0,0.7,0.56,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
268,"Egg, poached",1 large,50.0,74.0,308.0,6.0,0.0,0.0,5.0,1.5,1.9,0.7,215.0,27.0,0.9,147.0,67.0,0.0,95.0,70.0,0.0,0.0,0.0,0.0,0.4,0.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
269,Eggs benedict,2 eggs,310.0,572.0,2393.0,34.0,30.0,0.0,35.0,12.5,14.2,4.9,458.0,189.0,4.0,2015.0,456.0,0.0,453.0,265.0,0.0,0.0,0.0,0.0,2.1,1.96,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0
270,"Eggs, scrambled, made with 2 eggs",2 eggs,124.0,189.0,792.0,13.0,4.0,0.0,14.0,4.1,5.9,2.7,363.0,90.0,1.4,476.0,171.0,0.0,160.0,253.0,0.0,0.0,0.0,0.0,2.3,1.73,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
271,"Omelet, cheese, made with 2 eggs",1 omelet,150.0,273.0,1142.0,18.0,5.0,0.0,20.0,8.0,7.8,2.8,376.0,238.0,1.6,890.0,241.0,0.0,356.0,304.0,0.0,0.0,0.0,0.0,2.3,1.99,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
272,"Omelet, spanish, made with 2 eggs (mushrooms, onions, green peppers, tomatoes)",1 omelet,290.0,319.0,1336.0,15.0,13.0,0.0,24.0,5.7,10.4,6.3,353.0,111.0,1.8,607.0,514.0,0.0,211.0,403.0,0.0,0.0,0.0,0.0,4.3,1.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
273,"Omelet, western, made with 2 eggs (green peppers, ham, onions)",1 omelet,158.0,237.0,993.0,17.0,5.0,0.0,17.0,5.1,7.3,2.9,346.0,86.0,1.5,720.0,258.0,0.0,202.0,231.0,0.0,0.0,0.0,0.0,2.2,1.72,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
274,Apple with skin (7cm.diam),1,138.0,72.0,300.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2,1.0,148.0,7.0,15.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
275,"Applesauce, unsweetened",125mL,129.0,55.0,232.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,3.0,97.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
276,"Apricots, dried",6 halves,21.0,67.0,281.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.3,3.0,389.0,13.0,33.0,133.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
277,"Apricots, raw",3,105.0,50.0,211.0,1.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,0.4,1.0,272.0,11.0,24.0,101.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1149.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
278,Avocado,  1/2 ,101.0,161.0,672.0,2.0,9.0,1.0,15.0,0.0,0.0,0.0,0.0,12.0,0.6,7.0,487.0,29.0,52.0,7.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
279,Banana,1,118.0,105.0,439.0,1.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,0.3,1.0,422.0,32.0,26.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
280,Blackberries,125mL,76.0,33.0,137.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,0.5,1.0,123.0,15.0,17.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
