Food name,Measure,Weight ,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
"Trix, General MillsTM",250mL,30,117.0,491.0,1,27,13,1,,,,0,98,4.0,195,16.0,2.0,22.0,,,35.0,,,,,,,,,0,0,1.4,,,,,1.0,,,,,,
WeetabixTM,2 biscuits,35,130.0,543.0,4,29,2,1,0.1,,,0,14,1.1,126,141.0,58.0,144.0,,,13.0,,,,,,,,,0.7,,2.6,,,,,4.4,,,,,,
Cheese crackers,4,4,20.0,84.0,tr,2,tr,1,0.4,,,1,6,0.2,40,6.0,1.0,9.0,,,10.0,,,,,,,,,tr,0.02,0.3,,,,,0.1,,,,,,
"Melba toast, plain",2,10,39.0,163.0,1,8,tr,tr,tr,,,0,9,0.4,83,20.0,6.0,20.0,,,19.0,,,,,,,,,tr,0.03,0.6,,,,,0.6,,,,,,
Milk crackers,4,48,218.0,913.0,4,33,8,8,1.3,,,5,83,1.7,284,55.0,11.0,145.0,,,68.0,,,,,,,,,0.3,0.2,2.9,,,,,0.9,,,,,,
Rusk toast,1,10,41.0,170.0,1,7,,1,0.1,,,0,3,0.3,25,25.0,4.0,15.0,,,10.0,,,,,,,,,tr,0.04,0.7,,,,,0.6,,,,,,
"Rye wafers, plain",1,25,84.0,349.0,2,20,tr,tr,tr,,,0,10,1.5,199,124.0,30.0,84.0,,,11.0,,,,,,,,,0.1,0.07,0.8,,,,,5.7,,,,,,
"Saltine (oyster, soda, soup)",4,12,51.0,215.0,1,9,tr,1,0.2,,,0,8,0.7,129,18.0,3.0,12.0,,,26.0,,,,,,,,,tr,0.05,0.9,,,,,0.4,,,,,,
"Saltine (oyster, soda, soup), unsalted top",4,12,52.0,218.0,1,9,0,1,0.4,,,0,14,0.6,92,15.0,3.0,13.0,,,23.0,,,,,,,,,0.1,0.06,0.9,,,,,0.4,,,,,,
Standard-type (snack-type) (RitzTM),4,12,60.0,252.0,1,7,tr,3,0.5,,,0,14,0.4,102,16.0,3.0,27.0,,,17.0,,,,,,,,,tr,0.04,0.7,,,,,0.2,,,,,,
"Standard-type, reduced sodium (RitzTM)",4,12,60.0,252.0,1,7,tr,3,0.5,,,0,14,0.4,45,43.0,3.0,27.0,,,17.0,,,,,,,,,tr,0.04,0.7,,,,,0.2,,,,,,
Wheat crackers,4,20,95.0,396.0,2,13,1,3,2,,,0,10,1.0,173,60.0,12.0,44.0,,,37.0,,,,,,,,,0.1,0.07,1.4,,,,,1.4,,,,,,
"Wheat crackers, low fat",4,18,79.0,330.0,2,12,2,2,1.2,,,tr,34,0.7,112,72.0,13.0,52.0,,,28.0,,,,,,,,,0.1,0.1,1.3,,,,,0.9,,,,,,
Whole-wheat crackers,4,16,71.0,296.0,1,11,tr,3,0.5,,,0,8,0.5,105,48.0,16.0,47.0,,,4.0,,,,,,,,,tr,0.02,1.1,,,,,1.7,,,,,,
"Egg substitute, frozen (yolk replaced), cooked",2 eggs,111,226.0,947.0,14,4,,17,2.9,4.6,8.8,2,89,2.4,291,258.0,,88,60,,,,,1.9,0.35,2.2,,,,,,,,,,,,14.0,,,,,
"Egg white, cooked",1 large,33,16.0,66.0,3,tr,,0,0.0,0.0,0.0,0,3,tr,106,39.0,,4,0,,,,,0.0,0.01,0.0,,,,,,,,,,,,0.0,,,,,
"Egg yolk, cooked",1 large,17,59.0,249.0,3,1,,6,1.7,2.3,0.8,202,22,0.7,34,17.0,,64,106,,,,,0.8,0.88,1.4,,,,,,,,,,,,30.0,,,,,
"Egg, fried",2 large,92,173.0,726.0,12,2,,14,3.6,5.8,2.7,367,46,1.4,322,116.0,,127,236,,,,,1.9,1.62,2.7,,,,,,,,,,,,54.0,,,,,
"Egg, hard-boiled",1 large,50,78.0,324.0,6,1,,5,1.6,2.0,0.7,216,25,0.6,62,63.0,,86,85,,,,,0.7,0.56,0.5,,,,,,,,,,,,22.0,,,,,
"Egg, poached",1 large,50,74.0,308.0,6,tr,,5,1.5,1.9,0.7,215,27,0.9,147,67.0,,95,70,,,,,0.4,0.64,0.5,,,,,,,,,,,,24.0,,,,,
Eggs benedict,2 eggs,310,572.0,2393.0,34,30,,35,12.5,14.2,4.9,458,189,4.0,2015,456.0,,453,265,,,,,2.1,1.96,1.7,,,,,,,,,,,,113.0,,,,,
"Eggs, scrambled, made with 2 eggs",2 eggs,124,189.0,792.0,13,4,,14,4.1,5.9,2.7,363,90,1.4,476,171.0,,160,253,,,,,2.3,1.73,2.6,,,,,,,,,,,,55.0,,,,,
"Omelet, cheese, made with 2 eggs",1 omelet,150,273.0,1142.0,18,5,,20,8.0,7.8,2.8,376,238,1.6,890,241.0,,356,304,,,,,2.3,1.99,2.7,,,,,,,,,,,,56.0,,,,,
"Omelet, spanish, made with 2 eggs (mushrooms, onions, green peppers, tomatoes)",1 omelet,290,319.0,1336.0,15,13,,24,5.7,10.4,6.3,353,111,1.8,607,514.0,,211,403,,,,,4.3,1.7,3.7,,,,,,,,,,,,72.0,,,,,
"Omelet, western, made with 2 eggs (green peppers, ham, onions)",1 omelet,158,237.0,993.0,17,5,,17,5.1,7.3,2.9,346,86,1.5,720,258.0,,202,231,,,,,2.2,1.72,2.5,,,,,,,,,,,,53.0,,,,,
Apple with skin (7cm.diam),1,138,72.0,300.0,tr,19,14,tr,,,,,8,0.2,1,148.0,7.0,15.0,4,0.0,4,,,,0,,,6,,,,,37,,,,2.6,,,,,,
"Applesauce, unsweetened",125mL,129,55.0,232.0,tr,15,13,tr,,,,,4,0.2,3,97.0,4.0,9.0,1,0.0,1,,,,0,,,13,,,,,17,,,,1.5,,,,,,
"Apricots, dried",6 halves,21,67.0,281.0,1,17,,tr,,,,,13,1.3,3,389.0,13.0,33.0,133,0.0,1,,,,0,,,2,,,,,0,,,,1.2,,,,,,
"Apricots, raw",3,105,50.0,211.0,1,12,10,tr,,,,,14,0.4,1,272.0,11.0,24.0,101,0.0,9,,,,0,,,11,,,,,1149,,,,2.1,,,,,,
Avocado,  1/2 ,101,161.0,672.0,2,9,1,15,,,,,12,0.6,7,487.0,29.0,52.0,7,0.0,81,,,,0,,,10,,,,,62,,,,6.7,,,,,,
Banana,1,118,105.0,439.0,1,27,14,tr,,,,,6,0.3,1,422.0,32.0,26.0,4,0.0,24,,,,0,,,10,,,,,31,,,,2.1,,,,,,
Blackberries,125mL,76,33.0,137.0,1,7,4,tr,,,,,22,0.5,1,123.0,15.0,17.0,8,0.0,19,,,,0,,,16,,,,,97,,,,4.0,,,,,,
"Blueberries, frozen, unsweetened",125mL,82,42.0,174.0,tr,10,7,1,,,,,7,0.1,1,44.0,4.0,9.0,2,0.0,6,,,,0,,,2,,,,,23,,,,2.6,,,,,,
"Blueberries, raw",125mL,77,44.0,182.0,1,11,8,tr,,,,,5,0.2,1,59.0,5.0,9.0,2,0.0,5,,,,0,,,7,,,,,25,,,,2.0,,,,,,
"Cherries, sweet",10,68,43.0,179.0,1,11,9,tr,,,,,9,0.2,0,151.0,7.0,14.0,2,0.0,3,,,,0,,,5,,,,,26,,,,1.4,,,,,,
Clementine,1,74,35.0,146.0,1,9,7,tr,,,,,22,0.1,1,131.0,7.0,16.0,,,18,,,,0,,,36,,,,,,,,,1.3,,,,,,
"Cranberries, dried, sweetened",60mL,31,95.0,396.0,tr,25,20,tr,,,,,3,0.2,1,12.0,2.0,2.0,0,0.0,0,,,,0,,,tr,,,,,0,,,,1.8,,,,,,
"Dates, dried",3,25,70.0,294.0,1,19,16,tr,,,,,10,0.3,tr,163.0,11.0,15.0,0,0.0,5,,,,0,,,tr,,,,,1,,,,2.0,,,,,,
"Figs, dried",2,17,42.0,175.0,1,11,8,tr,,,,,27,0.3,2,114.0,11.0,11.0,tr,0.0,2,,,,0,,,tr,,,,,1,,,,1.6,,,,,,
"Figs, raw",1,50,37.0,155.0,tr,10,8,tr,,,,,18,0.2,1,116.0,9.0,7.0,4,0.0,3,,,,0,,,1,,,,,43,,,,1.5,,,,,,
"Fruit cocktail, canned, juice pack",125mL,125,58.0,240.0,1,15,14,tr,,,,,10,0.3,5,119.0,9.0,18.0,19,0.0,4,,,,0,,,3,,,,,193,,,,1.3,,,,,,
"Fruit cocktail, canned, light syrup pack",125mL,128,73.0,304.0,1,19,18,tr,,,,,8,0.4,8,114.0,6.0,14.0,13,0.0,4,,,,0,,,2,,,,,133,,,,1.3,,,,,,
"Fruit salad, tropical, canned, heavy syrup pack",125mL,136,117.0,489.0,1,30,,tr,,,,,18,0.7,3,178.0,18.0,10.0,8,,12,,,,0,,,24,,,,,102,,,,1.8,,,,,,
"Fruit salad, tropical, canned, juice pack",125mL,131,70.0,272.0,1,18,16,tr,,,,,17,0.3,4,160.0,14.0,10.0,8,0.0,4,,,,0,,,16,,,,,96,,,,1.1,,,,,,
"Grapefruit, pink or red",  1/2 ,123,52.0,216.0,1,13,8,tr,,,,,27,0.1,0,166.0,11.0,22.0,71,1745.0,16,,,,0,,,38,,,,,844,,,,2.0,,,,,,
"Grapefruit, white",  1/2 ,118,39.0,163.0,1,10,9,tr,,,,,14,0.1,0,175.0,11.0,9.0,2,0.0,12,,,,0,,,39,,,,,17,,,,2.1,,,,,,
Grapes,20,100,69.0,289.0,1,18,15,tr,,,,,10,0.4,2,191.0,7.0,20.0,3,0.0,2,,,,0,,,11,,,,,39,,,,1.2,,,,,,
Groundcherries,10,49,26.0,108.0,1,5,,tr,,,,,4,0.5,tr,75.0,,19.0,17,,3,,,,0,,,5,,,,,210,,,,,,,,,,
Kiwifruit,1,76,46.0,194.0,1,11,7,tr,,,,,26,0.2,2,237.0,13.0,26.0,3,0.0,19,,,,0,,,70,,,,,40,,,,2.3,,,,,,
Lychees (litchis),10,96,63.0,265.0,1,16,15,tr,,,,,5,0.3,1,164.0,10.0,30.0,0,0.0,13,,,,0,,,69,,,,,0,,,,1.2,,,,,,
Mango,  1/2 ,104,67.0,282.0,1,18,15,tr,,,,,10,0.1,2,161.0,9.0,11.0,39,0.0,14,,,,0,,,29,,,,,461,,,,1.9,,,,,,
"Melon, cantaloupe, cubes",125mL,85,29.0,120.0,1,7,7,tr,,,,,8,0.2,14,226.0,10.0,13.0,143,0.0,18,,,,0,,,31,,,,,1708,,,,0.6,,,,,,
"Melon, honeydew, cubes",125mL,90,32.0,136.0,tr,8,7,tr,,,,,5,0.2,16,205.0,9.0,10.0,3,0.0,17,,,,0,,,16,,,,,27,,,,0.7,,,,,,
"Melon, watermelon, cubes",125mL,80,24.0,100.0,tr,6,5,tr,,,,,6,0.2,1,90.0,8.0,9.0,22,3639.0,2,,,,0,,,7,,,,,243,,,,0.3,,,,,,
Nectarine,1,136,60.0,250.0,1,14,11,tr,,,,,8,0.4,0,273.0,12.0,35.0,18,0.0,7,,,,0,,,7,,,,,204,,,,2.3,,,,,,
Orange,1,131,62.0,258.0,1,15,12,tr,,,,,52,0.1,0,237.0,13.0,18.0,8,0.0,39,,,,0,,,70,,,,,93,,,,2.3,,,,,,
"Papaya, cubes",125mL,74,29.0,121.0,tr,7,4,tr,,,,,18,0.1,2,190.0,7.0,4.0,17,0.0,28,,,,0,,,46,,,,,204,,,,1.3,,,,,,
Peach,1,98,38.0,160.0,1,9,8,tr,,,,,6,0.2,0,186.0,9.0,20.0,16,0.0,3,,,,0,,,6,,,,,159,,,,1.9,,,,,,
"Peach, canned halves or slices, juice pack",125mL,132,58.0,243.0,1,15,14,tr,,,,,8,0.4,5,169.0,9.0,22.0,25,0.0,4,,,,0,,,5,,,,,250,,,,1.7,,,,,,
"Peach, canned halves or slices, light syrup pack",125mL,133,72.0,300.0,1,19,18,tr,,,,,4,0.5,7,129.0,7.0,15.0,24,0.0,4,,,,0,,,9,,,,,233,,,,1.7,,,,,,
"Peach, canned halves or slices, water pack",125mL,129,31.0,129.0,1,8,6,tr,,,,,3,0.4,4,128.0,6.0,13.0,35,0.0,4,,,,0,,,4,,,,,340,,,,1.7,,,,,,
Pear with skin,1,166,96.0,403.0,1,26,16,tr,,,,,15,0.3,2,198.0,12.0,18.0,2,0.0,12,,,,0,,,7,,,,,22,,,,5.0,,,,,,
"Pear, canned halves, juice pack",125mL,131,66.0,274.0,tr,17,13,tr,,,,,12,0.4,5,126.0,9.0,16.0,0,0.0,1,,,,0,,,2,,,,,4,,,,2.1,,,,,,
"Pear, canned halves, light syrup pack",125mL,133,76.0,316.0,tr,20,16,tr,,,,,7,0.4,7,88.0,5.0,9.0,0,0.0,1,,,,0,,,2,,,,,0,,,,2.1,,,,,,
"Pear, canned halves, water pack",125mL,128,37.0,155.0,tr,10,8,tr,,,,,5,0.3,3,68.0,5.0,9.0,0,0.0,1,,,,0,,,1,,,,,0,,,,2.0,,,,,,
"Pineapple, canned, juice pack",125mL,132,79.0,330.0,1,21,19,tr,,,,,18,0.4,1,160.0,18.0,8.0,3,0.0,7,,,,0,,,12,,,,,30,,,,1.2,,,,,,
"Pineapple, cubes", 125mL,82,42.0,174.0,tr,11,8,tr,,,,,11,0.2,1,88.0,10.0,7.0,2,0.0,16,,,,0,,,46,,,,,28,,,,1.1,,,,,,
"Plantain, baked or boiled, sliced",125mL,81,94.0,395.0,1,25,11,tr,,,,,2,0.5,4,378.0,26.0,23.0,37,0.0,21,,,,0,,,9,,,,,300,,,,1.9,,,,,,
Plum,1,66,30.0,127.0,tr,8,7,tr,,,,,4,0.1,0,104.0,5.0,11.0,11,0.0,3,,,,0,,,6,,,,,125,,,,1.1,,,,,,
Pomegranate (9.5cm diam),  1/2 ,77,53.0,220.0,1,13,13,tr,,,,,2,0.2,2,200.0,2.0,6.0,2,0.0,5,,,,0,,,5,,,,,31,,,,0.5,,,,,,
"Prunes, dried",3,25,60.0,253.0,1,16,10,tr,,,,,11,0.2,1,184.0,10.0,17.0,10,0.0,1,,,,0,,,tr,,,,,99,,,,1.8,,,,,,
"Prunes, dried, cooked, without added sugar",60mL,63,67.0,281.0,1,18,16,tr,,,,,12,0.3,1,202.0,11.0,19.0,11,0.0,0,,,,0,,,2,,,,,109,,,,3.6,,,,,,
Raisins,60mL,37,110.0,460.0,1,29,22,tr,,,,,18,0.7,4,275.0,12.0,37.0,0,0.0,2,,,,0,,,1,,,,,0,,,,1.3,,,,,,
Raspberries,125mL,65,34.0,141.0,1,8,3,tr,,,,,16,0.4,1,98.0,14.0,19.0,1,0.0,14,,,,0,,,17,,,,,8,,,,4.2,,,,,,
"Rhubarb, frozen, cooked, with added sugar",125mL,127,147.0,615.0,tr,40,36,tr,,,,,184,0.3,1,122.0,15.0,10.0,5,0.0,6,,,,0,,,4,,,,,56,,,,2.5,,,,,,
Strawberries,7,84,27.0,113.0,1,6,4,tr,,,,,13,0.4,1,129.0,11.0,20.0,1,0.0,20,,,,0,,,49,,,,,6,,,,1.9,,,,,,
"Strawberries, frozen, unsweetened",125mL,117,41.0,170.0,1,11,5,tr,,,,,19,0.9,2,173.0,13.0,15.0,2,0.0,20,,,,0,,,48,,,,,32,,,,1.8,,,,,,
Tangerine (mandarin),1,84,45.0,186.0,1,11,9,tr,,,,,31,0.1,2,139.0,10.0,17.0,11,0.0,13,,,,0,,,22,,,,,130,,,,1.5,,,,,,
"Tangerine (mandarin), canned, juice pack, drained",125mL,100,38.0,159.0,1,9,8,tr,,,,,12,0.3,5,136.0,11.0,11.0,25,0.0,5,,,,0,,,34,,,,,298,,,,1.2,,,,,,
"Apple juice, ready-to-drink, vitamin C added",125mL,126,59.0,249.0,tr,15,14,tr,,,,,9,0.5,4,150.0,4.0,9.0,0,0.0,tr,,,,0,,,52,,,,,0,,,,0.1,,,,,,
"Cranberry juice cocktail, ready-to-drink, vitamin C added",125mL,134,76.0,318.0,0,19,16,tr,,,,,4,0.2,3,24.0,3.0,3.0,0,0.0,0,,,,0,,,48,,,,,0,,,,0.1,,,,,,
"Cranberry juice, unsweetened, ready-to-drink",125mL,134,61.0,257.0,1,16,16,tr,,,,,11,0.3,3,103.0,8.0,17.0,3,0.0,1,,,,0,,,12,,,,,36,,,,0.1,,,,,,
"Cranberry-apple juice-drink, ready-to-drink, low Calorie, vitamin C added",125mL,127,24.0,100.0,tr,6,6,0,,,,,13,0.1,6,57.0,4.0,1.0,1,0.0,0,,,,0,,,41,,,,,8,,,,0.1,,,,,,
"Grape juice, frozen, sweetened, diluted, vitamin C added",125mL,132,67.0,281.0,tr,17,17,tr,,,,,5,0.1,3,28.0,5.0,5.0,0,0.0,1,,,,0,,,20,,,,,7,,,,0.1,,,,,,
"Grape juice, ready-to-drink, vitamin C added",125mL,132,81.0,337.0,1,20,20,tr,,,,,12,0.3,4,174.0,13.0,15.0,0,0.0,4,,,,0,,,32,,,,,7,,,,0.1,,,,,,
"Grapefruit juice, ready-to-drink unsweetened or freshly squeezed",125mL,130,50.0,210.0,1,12,12,tr,,,,,10,0.3,1,206.0,14.0,17.0,1,0.0,13,,,,0,,,44,,,,,11,,,,0.4,,,,,,
"Grapefruit juice, ready-to-drink, sweetened",125mL,132,61.0,254.0,1,15,15,tr,,,,,11,0.5,3,214.0,13.0,15.0,0,0.0,13,,,,0,,,36,,,,,4,,,,0.1,,,,,,
"Lemon juice, canned or bottled",15mL,15,3.0,14.0,tr,1,tr,tr,,,,,2,tr,3,16.0,1.0,1.0,tr,0.0,2,,,,0,,,4,,,,,tr,,,,0.1,,,,,,
"Lime juice, canned or bottled",15mL,16,3.0,14.0,tr,1,tr,tr,,,,,2,tr,2,12.0,1.0,2.0,tr,0.0,1,,,,0,,,1,,,,,2,,,,0.1,,,,,,
"Nectar, apricot",125mL,133,74.0,310.0,tr,19,18,tr,,,,,9,0.5,4,151.0,7.0,12.0,88,0.0,1,,,,0,,,44,,,,,1042,,,,0.8,,,,,,
"Nectar, mango",125mL,133,68.0,281.0,tr,17,17,tr,,,,,23,0.5,7,32.0,4.0,3.0,46,0.0,9,,,,0,,,20,,,,,533,,,,0.4,,,,,,
"Orange and grapefruit juice, ready-to-drink",125mL,130,56.0,235.0,1,13,13,tr,,,,,10,0.6,4,206.0,13.0,18.0,8,0.0,18,,,,0,,,38,,,,,26,,,,0.1,,,,,,
"Orange juice, frozen, diluted",125mL,132,59.0,247.0,1,14,11,tr,,,,,12,0.1,1,250.0,13.0,21.0,7,0.0,58,,,,0,,,51,,,,,22,,,,0.3,,,,,,
"Orange juice, ready-to-drink",125mL,132,58.0,242.0,1,13,,tr,,,,,13,0.2,1,250.0,14.0,14.0,5,0.0,24,,,,0,,,43,,,,,61,,,,0.3,,,,,,
"Orange juice, ready-to-drink, refrigerated, vitamin D and calcium added",125mL,132,58.0,242.0,1,13,,tr,,,,,185,0.2,1,250.0,14.0,14.0,5,0.0,,,,,0,,,43,,,,,,,,,0.3,,,,,,
"Orange, strawberry and banana juice, ready-to-drink",125mL,124,57.0,237.0,1,15,13,tr,,,,,14,0.3,5,124.0,12.0,15.0,1,0.0,21,,,,0,,,31,,,,,21,,,,0.2,,,,,,
"Pineapple juice, ready-to-drink, vitamin C added",125mL,132,74.0,309.0,tr,18,13,tr,,,,,22,0.3,1,177.0,17.0,11.0,0,0.0,30,,,,0,,,32,,,,,4,,,,0.3,,,,,,
"Pomegranate juice, ready-to-drink",125mL,128,72.0,300.0,0,20,17,0,,,,,0,0,5,215.0,,,0,,,,,,0,,,0,,,,,,,,,0.0,,,,,,
"Prune juice, ready-to-drink",125mL,135,96.0,402.0,1,24,22,tr,,,,,16,1.6,5,373.0,19.0,34.0,0,0.0,0,,,,0,,,6,,,,,3,,,,1.4,,,,,,
"Alfalfa sprouts, raw",60mL,8,2.0,10.0,tr,tr,tr,tr,,,,,3,0.1,1,7.0,2,6,1,0,3.0,,,,0,,,1,,,,,7,,,,0.2,,,,,,
"Artichoke hearts, canned in water",1 heart,27,13.0,56.0,1,3,tr,tr,,,,,12,0.3,74,95.0,16,23,2,0,14.0,,,,0,,,3,,,,,28,,,,1.0,,,,,,
"Artichoke hearts, marinated in oil",1 heart,28,27.0,111.0,1,3,tr,2,,,,,12,0.3,79,93.0,16,23,2,0,13.0,,,,0,,,3,,,,,28,,,,1.0,,,,,,
"Artichoke, boiled, drained",1 medium,120,60.0,251.0,4,13,1,tr,,,,,54,1.5,114,425.0,72,103,11,0,61.0,,,,0,,,12,,,,,127,,,,4.7,,,,,,
"Asparagus, canned, drained",6 spears,108,21.0,85.0,2,3,1,1,,,,,17,2,310,186.0,11,46,44,26,104.0,,,,0,,,20,,,,,532,,,,1.5,,,,,,
"Asparagus, fresh or frozen, boiled, drained",6 spears,90,18.0,75.0,2,3,1,tr,,,,,18,0.7,8,178.0,11,46,41,24,128.0,,,,0,,,14,,,,,489,,,,1.6,,,,,,
"Bean sprouts, stir-fried",125mL,66,33.0,137.0,3,7,,tr,,,,,9,1.2,6,143.0,22,52,1,,46.0,,,,0,,,10,,,,,12,,,,1.2,,,,,,
"Beans, lima, frozen, boiled, drained",125mL,95,100.0,417.0,6,18,1,tr,,,,,27,1.9,28,391.0,53,107,8,0,15.0,,,,0,,,6,,,,,95,,,,4.0,,,,,,
"Beans, snap (green, yellow, Italian), canned, drained",125mL,71,14.0,60.0,1,3,1,tr,,,,,19,0.6,187,78.0,9,14,16,0,23.0,,,,0,,,2,,,,,186,,,,1.5,,,,,,
"Beans, snap (green, yellow, Italian), fresh or frozen, boiled, drained",125mL,71,22.0,94.0,1,5,1,tr,,,,,33,0.5,4,97.0,15,21,22,0,20.0,,,,0,,,5,,,,,269,,,,1.9,,,,,,
"Beets, pickled, sliced, not drained",125mL,120,78.0,326.0,1,20,,tr,,,,,13,0.5,317,177.0,18,20,1,,32.0,,,,0,,,3,,,,,7,,,,2.2,,,,,,
"Beets, sliced, boiled, drained",125mL,90,40.0,165.0,2,9,7,tr,,,,,14,0.7,69,274.0,21,34,2,0,72.0,,,,0,,,3,,,,,19,,,,1.8,,,,,,
"Beets, sliced, canned, drained",125mL,90,28.0,117.0,1,6,5,tr,,,,,13,1.6,174,133.0,15,15,1,0,27.0,,,,0,,,6,,,,,13,,,,1.9,,,,,,
"Belgium endive, raw",1 endive,53,9.0,38.0,tr,2,,tr,,,,,10,0.1,1,112.0,5,14,1,,20.0,,,,0,,,1,,,,,9,,,,1.6,,,,,,
"Bok Choy, Pak-Choi, shredded, boiled, drained",125mL,90,11.0,45.0,1,2,1,tr,,,,,84,0.9,31,333.0,10,26,190,0,37.0,,,,0,,,23,,,,,2289,,,,0.9,,,,,,
"Broccoli, chopped, boiled, drained",125mL,82,29.0,120.0,2,6,1,tr,,,,,33,0.6,34,241.0,17,55,81,0,89.0,,,,0,,,53,,,,,973,,,,2.0,,,,,,
"Broccoli, chopped, raw",125mL,46,16.0,66.0,1,3,1,tr,,,,,22,0.3,15,147.0,10,31,15,0,29.0,,,,0,,,41,,,,,178,,,,1.1,,,,,,
"Broccoli, frozen spears, boiled, drained",125mL,97,27.0,114.0,3,5,1,tr,,,,,50,0.6,23,175.0,19,53,54,0,29.0,,,,0,,,39,,,,,645,,,,2.3,,,,,,
"Brussels sprouts, fresh or frozen, boiled, drained",4 sprouts,84,33.0,137.0,3,6,2,tr,,,,,26,0.7,15,255.0,16,47,36,0,68.0,,,,0,,,45,,,,,428,,,,3.2,,,,,,
"Cabbage, green, shredded, boiled, drained",125mL,79,17.0,73.0,1,4,2,tr,,,,,25,0.1,6,77.0,6,12,6,0,16.0,,,,0,,,16,,,,,59,,,,1.3,,,,,,
"Cabbage, green, shredded, raw",125mL,37,9.0,37.0,1,2,1,tr,,,,,17,0.2,7,91.0,6,9,3,0,16.0,,,,0,,,12,,,,,33,,,,0.7,,,,,,
"Cabbage, napa, shredded, boiled, drained",125mL,58,7.0,29.0,1,1,,tr,,,,,17,0.4,6,50.0,5,11,7,0,25.0,,,,0,,,2,,,,,77,,,,,,,,,,
"Cabbage, red, shredded, raw",125mL,37,11.0,48.0,1,3,1,tr,,,,,17,0.3,10,90.0,6,11,21,7,7.0,,,,0,,,21,,,,,248,,,,0.8,,,,,,
"Carrots, baby, raw",8,80,28.0,117.0,1,7,4,tr,,,,,26,0.7,62,190.0,8,22,552,0,26.0,,,,0,,,7,,,,,5113,,,,1.4,,,,,,
"Carrots, fresh or frozen, boiled, drained",125mL,77,28.0,116.0,1,6,3,tr,,,,,25,0.3,45,165.0,8,24,652,1,10.0,,,,0,,,2,,,,,6333,,,,1.9,,,,,,
"Carrots, raw",1 medium,61,25.0,104.0,1,6,3,tr,,,,,20,0.2,42,195.0,7,21,367,1,12.0,,,,0,,,4,,,,,3522,,,,1.5,,,,,,
"Cauliflower, pieces, boiled, drained",125mL,66,15.0,63.0,1,3,1,tr,,,,,10,0.2,10,93.0,6,21,1,0,29.0,,,,0,,,29,,,,,5,,,,1.8,,,,,,
"Cauliflower, pieces, raw",125mL,53,13.0,55.0,1,3,1,tr,,,,,12,0.2,16,160.0,8,23,1,0,30.0,,,,0,,,25,,,,,4,,,,0.9,,,,,,
"Celery, raw",1,40,6.0,24.0,tr,1,1,tr,,,,,16,0.1,32,104.0,4,10,9,0,14.0,,,,0,,,1,,,,,108,,,,0.6,,,,,,
"Corn, sweet, canned, cream style",125mL,135,97.0,407.0,2,25,4,1,,,,,4,0.5,385,181.0,23,69,5,0,61.0,,,,0,,,6,,,,,41,,,,1.8,,,,,,
"Corn, sweet, canned, niblets",125mL,111,88.0,366.0,3,22,4,1,,,,,6,0.5,302,206.0,26,71,4,0,54.0,,,,0,,,6,,,,,37,,,,2.3,,,,,,
"Corn, sweet, on or off cob, fresh or frozen, boiled, drained",125mL,87,82.0,343.0,3,19,3,1,,,,,2,0.5,8,209.0,26,79,7,0,35.0,,,,0,,,4,,,,,50,,,,2.0,,,,,,
"Cucumber, peeled, raw",4 slices,28,3.0,14.0,tr,1,tr,tr,,,,,4,0.1,1,38.0,3,6,1,0,4.0,,,,0,,,1,,,,,9,,,,0.2,,,,,,
Edamame,125mL,82,100.0,417.0,9,8,2,4,,,,,52,1.9,5,357.0,52,138,,,255.0,,,,0,,,5,,,,,,,,,4.3,,,,,,
"Eggplant, pieces, boiled, drained",125mL,52,18.0,76.0,tr,5,2,tr,,,,,3,0.1,1,64.0,6,8,1,0,7.0,,,,0,,,1,,,,,12,,,,1.3,,,,,,
"Fiddleheads, frozen, boiled",125mL,98,33.0,139.0,4,6,,tr,,,,,27,1,tr,244.0,26,78,171,,,,,,0,,,22,,,,,1911,,,,0.9,,,,,,
"Fireweed leaves, raw",125mL,12,13.0,52.0,1,2,,tr,,,,,52,0.3,4,60.0,19,13,22,,14.0,,,,0,,,tr,,,,,262,,,,1.3,,,,,,
"Hearts of palm, canned",2,66,18.0,77.0,2,3,,tr,,,,,38,2.1,281,117.0,25,43,0,,26.0,,,,0,,,5,,,,,0,,,,1.6,,,,,,
"Kale, chopped, boiled, drained",125mL,69,19.0,80.0,1,4,1,tr,,,,,49,0.6,16,157.0,12,19,468,0,9.0,,,,0,,,28,,,,,5613,,,,1.4,,,,,,
"Leeks, chopped, boiled, drained",125mL,55,17.0,71.0,tr,4,,tr,,,,,16,0.6,5,48.0,8,9,1,,13.0,,,,0,,,2,,,,,15,,,,0.5,,,,,,
"Lettuce, Boston, shredded",250mL,58,8.0,31.0,1,1,1,tr,,,,,20,0.7,3,138.0,8,19,96,0,42.0,,,,0,,,2,,,,,1155,,,,0.6,,,,,,
